edad,educacion,credito_hipotecario,credito_consumo,duracion_llamada_seg,contactos_esta_campana,contactos_previos,resultado_campana_anterior,tasa_euribor,contrata
41.0,3.0,0.0,0.0,111.0,2.0,0.0,0.0,4.857,0
33.0,3.0,0.0,0.0,198.0,1.0,0.0,0.0,4.857,0
43.0,4.0,0.0,0.0,166.0,2.0,0.0,0.0,4.857,0
50.0,3.0,1.0,1.0,369.0,1.0,0.0,0.0,4.857,0
52.0,1.0,0.0,0.0,371.0,2.0,0.0,0.0,4.857,0
38.0,4.0,0.0,0.0,145.0,1.0,0.0,0.0,4.857,0
39.0,6.0,0.0,0.0,73.0,1.0,0.0,0.0,4.857,0
44.0,4.0,0.0,0.0,263.0,2.0,0.0,0.0,4.857,0
41.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,4.857,0
30.0,4.0,1.0,0.0,123.0,1.0,0.0,0.0,4.857,0
42.0,4.0,0.0,1.0,1297.0,3.0,0.0,0.0,4.857,1
41.0,1.0,1.0,1.0,260.0,1.0,0.0,0.0,4.857,0
37.0,,0.0,0.0,390.0,3.0,0.0,0.0,4.857,0
41.0,6.0,0.0,0.0,174.0,2.0,0.0,0.0,4.857,0
33.0,5.0,1.0,0.0,219.0,2.0,0.0,0.0,4.857,0
48.0,5.0,1.0,0.0,92.0,2.0,0.0,0.0,4.857,0
58.0,6.0,1.0,0.0,208.0,1.0,0.0,0.0,4.857,0
34.0,4.0,0.0,0.0,193.0,1.0,0.0,0.0,4.857,0
36.0,4.0,0.0,0.0,158.0,1.0,0.0,0.0,4.857,0
50.0,4.0,0.0,0.0,87.0,1.0,0.0,0.0,4.857,0
47.0,5.0,0.0,0.0,79.0,4.0,0.0,0.0,4.857,0
30.0,6.0,0.0,0.0,246.0,1.0,0.0,0.0,4.857,0
45.0,5.0,1.0,0.0,37.0,2.0,0.0,0.0,4.857,0
32.0,6.0,0.0,0.0,530.0,2.0,0.0,0.0,4.857,0
35.0,,1.0,0.0,175.0,3.0,0.0,0.0,4.857,0
55.0,6.0,1.0,0.0,90.0,5.0,0.0,0.0,4.857,0
54.0,4.0,1.0,0.0,412.0,1.0,0.0,0.0,4.857,0
39.0,3.0,0.0,1.0,333.0,2.0,0.0,0.0,4.857,0
59.0,1.0,0.0,0.0,273.0,2.0,0.0,0.0,4.857,0
43.0,4.0,0.0,1.0,262.0,1.0,0.0,0.0,4.857,0
32.0,3.0,1.0,0.0,477.0,1.0,0.0,0.0,4.857,0
56.0,6.0,0.0,0.0,191.0,1.0,0.0,0.0,4.857,0
27.0,4.0,1.0,0.0,390.0,2.0,0.0,0.0,4.857,0
33.0,6.0,0.0,0.0,125.0,2.0,0.0,0.0,4.857,0
49.0,4.0,0.0,0.0,296.0,3.0,0.0,0.0,4.857,0
42.0,1.0,0.0,0.0,114.0,2.0,0.0,0.0,4.857,0
59.0,6.0,0.0,0.0,132.0,2.0,0.0,0.0,4.857,0
51.0,3.0,1.0,0.0,144.0,2.0,0.0,0.0,4.857,0
57.0,6.0,0.0,0.0,190.0,3.0,0.0,0.0,4.857,0
45.0,6.0,0.0,0.0,152.0,3.0,0.0,0.0,4.857,0
38.0,4.0,1.0,0.0,106.0,2.0,0.0,0.0,4.857,0
44.0,,1.0,0.0,336.0,3.0,0.0,0.0,4.857,0
44.0,5.0,1.0,1.0,139.0,2.0,0.0,0.0,4.857,0
36.0,4.0,1.0,0.0,128.0,2.0,0.0,0.0,4.857,0
29.0,6.0,0.0,0.0,122.0,3.0,0.0,0.0,4.857,0
30.0,3.0,0.0,1.0,126.0,2.0,0.0,0.0,4.857,0
60.0,5.0,0.0,0.0,59.0,3.0,0.0,0.0,4.857,0
30.0,6.0,1.0,0.0,51.0,3.0,0.0,0.0,4.856,0
37.0,4.0,1.0,0.0,124.0,2.0,0.0,0.0,4.856,0
37.0,1.0,,,195.0,2.0,0.0,0.0,4.856,0
41.0,,1.0,0.0,149.0,2.0,0.0,0.0,4.856,0
38.0,,0.0,1.0,70.0,2.0,0.0,0.0,4.856,0
38.0,3.0,1.0,0.0,275.0,6.0,0.0,0.0,4.856,0
33.0,3.0,0.0,0.0,113.0,1.0,0.0,0.0,4.856,0
33.0,3.0,,,150.0,1.0,0.0,0.0,4.856,0
28.0,3.0,0.0,0.0,298.0,1.0,0.0,0.0,4.856,0
36.0,4.0,0.0,0.0,152.0,3.0,0.0,0.0,4.856,0
35.0,2.0,0.0,0.0,104.0,2.0,0.0,0.0,4.856,0
56.0,6.0,1.0,0.0,159.0,2.0,0.0,0.0,4.856,0
45.0,3.0,1.0,1.0,207.0,1.0,0.0,0.0,4.856,0
44.0,4.0,0.0,0.0,83.0,3.0,0.0,0.0,4.856,0
45.0,3.0,0.0,0.0,121.0,1.0,0.0,0.0,4.856,0
41.0,3.0,1.0,0.0,112.0,1.0,0.0,0.0,4.856,0
53.0,6.0,1.0,0.0,122.0,2.0,0.0,0.0,4.856,0
34.0,4.0,1.0,0.0,359.0,1.0,0.0,0.0,4.856,0
42.0,2.0,0.0,0.0,123.0,1.0,0.0,0.0,4.856,0
35.0,,1.0,0.0,125.0,1.0,0.0,0.0,4.856,0
40.0,6.0,1.0,0.0,295.0,2.0,0.0,0.0,4.856,0
42.0,2.0,0.0,0.0,287.0,1.0,0.0,0.0,4.856,0
43.0,5.0,1.0,0.0,255.0,1.0,0.0,0.0,4.856,0
37.0,3.0,1.0,0.0,591.0,1.0,0.0,0.0,4.856,1
44.0,2.0,1.0,1.0,344.0,1.0,0.0,0.0,4.856,0
31.0,4.0,1.0,0.0,260.0,1.0,0.0,0.0,4.856,0
43.0,4.0,0.0,0.0,463.0,1.0,0.0,0.0,4.856,0
33.0,3.0,0.0,0.0,283.0,2.0,0.0,0.0,4.856,0
37.0,2.0,0.0,0.0,221.0,2.0,0.0,0.0,4.856,0
32.0,2.0,0.0,0.0,150.0,1.0,0.0,0.0,4.856,0
38.0,,0.0,1.0,181.0,1.0,0.0,0.0,4.856,0
35.0,4.0,0.0,0.0,799.0,1.0,0.0,0.0,4.856,0
47.0,4.0,1.0,0.0,127.0,1.0,0.0,0.0,4.856,0
32.0,4.0,1.0,0.0,180.0,2.0,0.0,0.0,4.856,0
54.0,1.0,1.0,0.0,421.0,2.0,0.0,0.0,4.856,0
44.0,6.0,0.0,0.0,202.0,1.0,0.0,0.0,4.856,0
51.0,3.0,0.0,0.0,279.0,1.0,0.0,0.0,4.856,0
43.0,1.0,1.0,0.0,180.0,5.0,0.0,0.0,4.856,0
29.0,5.0,0.0,0.0,125.0,2.0,0.0,0.0,4.856,0
38.0,3.0,0.0,0.0,294.0,2.0,0.0,0.0,4.856,0
48.0,5.0,0.0,1.0,485.0,4.0,0.0,0.0,4.856,0
33.0,,1.0,0.0,371.0,2.0,0.0,0.0,4.856,0
33.0,3.0,1.0,0.0,48.0,1.0,0.0,0.0,4.856,0
48.0,4.0,0.0,0.0,144.0,1.0,0.0,0.0,4.856,0
55.0,1.0,1.0,1.0,1101.0,1.0,0.0,0.0,4.856,0
45.0,6.0,,,229.0,3.0,0.0,0.0,4.856,0
34.0,2.0,1.0,0.0,123.0,1.0,0.0,0.0,4.856,0
41.0,4.0,1.0,1.0,345.0,1.0,0.0,0.0,4.856,0
57.0,3.0,1.0,0.0,68.0,1.0,0.0,0.0,4.856,0
30.0,,0.0,0.0,143.0,3.0,0.0,0.0,4.856,0
47.0,6.0,,,106.0,1.0,0.0,0.0,4.856,0
51.0,6.0,0.0,0.0,194.0,1.0,0.0,0.0,4.856,0
50.0,4.0,0.0,0.0,224.0,5.0,0.0,0.0,4.856,0
44.0,1.0,1.0,0.0,607.0,1.0,0.0,0.0,4.856,0
48.0,3.0,1.0,0.0,241.0,2.0,0.0,0.0,4.856,0
43.0,5.0,0.0,0.0,96.0,3.0,0.0,0.0,4.856,0
58.0,4.0,0.0,1.0,152.0,2.0,0.0,0.0,4.856,0
30.0,4.0,0.0,1.0,198.0,2.0,0.0,0.0,4.856,0
35.0,4.0,1.0,0.0,24.0,2.0,0.0,0.0,4.856,0
39.0,2.0,0.0,0.0,108.0,6.0,0.0,0.0,4.856,0
52.0,5.0,1.0,0.0,222.0,4.0,0.0,0.0,4.856,0
51.0,1.0,1.0,0.0,1009.0,3.0,0.0,0.0,4.856,0
42.0,1.0,,,42.0,2.0,0.0,0.0,4.856,0
39.0,5.0,,,50.0,2.0,0.0,0.0,4.856,0
26.0,6.0,1.0,0.0,217.0,2.0,0.0,0.0,4.856,0
57.0,6.0,0.0,0.0,283.0,3.0,0.0,0.0,4.856,0
44.0,1.0,0.0,0.0,1574.0,2.0,0.0,0.0,4.856,1
54.0,1.0,1.0,0.0,62.0,5.0,0.0,0.0,4.856,0
42.0,2.0,1.0,1.0,89.0,3.0,0.0,0.0,4.856,0
51.0,6.0,0.0,0.0,299.0,2.0,0.0,0.0,4.856,0
42.0,4.0,0.0,0.0,191.0,2.0,0.0,0.0,4.856,0
34.0,6.0,1.0,1.0,145.0,1.0,0.0,0.0,4.856,0
46.0,6.0,,,74.0,1.0,0.0,0.0,4.856,0
30.0,2.0,0.0,0.0,275.0,2.0,0.0,0.0,4.856,0
49.0,5.0,,,865.0,2.0,0.0,0.0,4.856,0
45.0,3.0,1.0,0.0,944.0,3.0,0.0,0.0,4.856,0
39.0,6.0,1.0,0.0,319.0,3.0,0.0,0.0,4.856,0
54.0,3.0,1.0,0.0,90.0,2.0,0.0,0.0,4.856,0
54.0,3.0,1.0,0.0,505.0,2.0,0.0,0.0,4.856,0
56.0,3.0,1.0,1.0,71.0,4.0,0.0,0.0,4.856,0
42.0,5.0,1.0,0.0,280.0,3.0,0.0,0.0,4.856,0
33.0,6.0,1.0,0.0,239.0,2.0,0.0,0.0,4.855,0
39.0,,0.0,0.0,211.0,3.0,0.0,0.0,4.855,0
33.0,6.0,0.0,0.0,342.0,1.0,0.0,0.0,4.855,0
41.0,2.0,0.0,0.0,142.0,1.0,0.0,0.0,4.855,0
48.0,5.0,1.0,0.0,194.0,1.0,0.0,0.0,4.855,0
40.0,4.0,1.0,0.0,132.0,1.0,0.0,0.0,4.855,0
40.0,4.0,0.0,1.0,110.0,1.0,0.0,0.0,4.855,0
39.0,5.0,0.0,0.0,31.0,1.0,0.0,0.0,4.855,0
44.0,5.0,0.0,0.0,203.0,1.0,0.0,0.0,4.855,0
31.0,5.0,0.0,0.0,528.0,1.0,0.0,0.0,4.855,0
40.0,4.0,1.0,0.0,183.0,1.0,0.0,0.0,4.855,0
48.0,2.0,0.0,1.0,61.0,1.0,0.0,0.0,4.855,0
36.0,2.0,1.0,0.0,11.0,1.0,0.0,0.0,4.855,0
35.0,3.0,1.0,1.0,20.0,1.0,0.0,0.0,4.855,0
46.0,1.0,0.0,0.0,202.0,1.0,0.0,0.0,4.855,0
28.0,5.0,0.0,0.0,462.0,1.0,0.0,0.0,4.855,0
42.0,6.0,1.0,0.0,204.0,1.0,0.0,0.0,4.855,0
32.0,5.0,0.0,0.0,1119.0,1.0,0.0,0.0,4.855,1
41.0,3.0,1.0,0.0,152.0,1.0,0.0,0.0,4.855,0
45.0,3.0,0.0,0.0,187.0,1.0,0.0,0.0,4.855,0
32.0,2.0,0.0,0.0,60.0,1.0,0.0,0.0,4.855,0
32.0,6.0,1.0,0.0,147.0,1.0,0.0,0.0,4.855,0
43.0,1.0,0.0,0.0,190.0,1.0,0.0,0.0,4.855,0
24.0,4.0,1.0,1.0,198.0,1.0,0.0,0.0,4.855,0
39.0,2.0,0.0,0.0,124.0,1.0,0.0,0.0,4.855,0
39.0,2.0,0.0,0.0,393.0,1.0,0.0,0.0,4.855,0
55.0,6.0,0.0,0.0,207.0,1.0,0.0,0.0,4.855,0
38.0,2.0,0.0,0.0,229.0,1.0,0.0,0.0,4.855,0
42.0,3.0,1.0,0.0,191.0,1.0,0.0,0.0,4.855,0
49.0,1.0,1.0,0.0,149.0,1.0,0.0,0.0,4.855,0
39.0,2.0,1.0,0.0,338.0,2.0,0.0,0.0,4.855,0
38.0,4.0,0.0,1.0,446.0,1.0,0.0,0.0,4.855,0
30.0,6.0,0.0,0.0,249.0,2.0,0.0,0.0,4.855,0
39.0,6.0,0.0,0.0,1007.0,1.0,0.0,0.0,4.855,0
37.0,,1.0,0.0,266.0,1.0,0.0,0.0,4.855,0
48.0,1.0,0.0,0.0,172.0,1.0,0.0,0.0,4.855,0
33.0,4.0,0.0,0.0,96.0,1.0,0.0,0.0,4.855,0
35.0,6.0,1.0,1.0,477.0,1.0,0.0,0.0,4.855,0
33.0,2.0,1.0,0.0,365.0,1.0,0.0,0.0,4.855,0
43.0,6.0,1.0,0.0,159.0,4.0,0.0,0.0,4.855,0
51.0,6.0,1.0,0.0,213.0,1.0,0.0,0.0,4.855,0
31.0,3.0,1.0,0.0,141.0,1.0,0.0,0.0,4.855,0
30.0,4.0,1.0,0.0,177.0,1.0,0.0,0.0,4.855,0
60.0,1.0,1.0,0.0,442.0,2.0,0.0,0.0,4.855,0
50.0,4.0,1.0,0.0,756.0,1.0,0.0,0.0,4.855,1
50.0,5.0,0.0,0.0,189.0,1.0,0.0,0.0,4.855,0
28.0,,1.0,0.0,136.0,1.0,0.0,0.0,4.855,0
25.0,4.0,0.0,0.0,250.0,1.0,0.0,0.0,4.855,0
41.0,3.0,1.0,0.0,161.0,1.0,0.0,0.0,4.855,0
39.0,2.0,1.0,0.0,269.0,3.0,0.0,0.0,4.855,0
25.0,5.0,0.0,0.0,22.0,1.0,0.0,0.0,4.855,0
48.0,6.0,1.0,0.0,293.0,2.0,0.0,0.0,4.855,0
36.0,2.0,0.0,0.0,989.0,1.0,0.0,0.0,4.855,0
36.0,3.0,0.0,0.0,147.0,5.0,0.0,0.0,4.855,0
29.0,3.0,0.0,0.0,159.0,2.0,0.0,0.0,4.855,0
35.0,3.0,0.0,0.0,343.0,2.0,0.0,0.0,4.855,0
43.0,4.0,1.0,0.0,152.0,2.0,0.0,0.0,4.855,0
36.0,2.0,0.0,0.0,180.0,2.0,0.0,0.0,4.855,0
30.0,4.0,0.0,0.0,66.0,2.0,0.0,0.0,4.855,0
37.0,1.0,1.0,0.0,151.0,2.0,0.0,0.0,4.855,0
38.0,1.0,1.0,0.0,403.0,2.0,0.0,0.0,4.855,0
44.0,5.0,0.0,0.0,626.0,6.0,0.0,0.0,4.855,0
29.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,4.855,0
46.0,2.0,0.0,0.0,266.0,1.0,0.0,0.0,4.855,0
43.0,2.0,0.0,0.0,301.0,2.0,0.0,0.0,4.855,0
40.0,5.0,0.0,0.0,202.0,2.0,0.0,0.0,4.855,0
48.0,5.0,1.0,0.0,237.0,2.0,0.0,0.0,4.855,0
53.0,4.0,1.0,0.0,23.0,5.0,0.0,0.0,4.855,0
31.0,4.0,1.0,0.0,1120.0,2.0,0.0,0.0,4.855,1
28.0,2.0,1.0,1.0,318.0,2.0,0.0,0.0,4.855,0
28.0,6.0,1.0,0.0,226.0,1.0,0.0,0.0,4.855,0
41.0,3.0,0.0,1.0,261.0,5.0,0.0,0.0,4.855,0
34.0,2.0,0.0,1.0,159.0,2.0,0.0,0.0,4.855,0
51.0,4.0,1.0,0.0,102.0,2.0,0.0,0.0,4.855,0
28.0,6.0,0.0,1.0,352.0,2.0,0.0,0.0,4.855,0
57.0,4.0,0.0,1.0,185.0,2.0,0.0,0.0,4.855,0
30.0,3.0,1.0,1.0,166.0,2.0,0.0,0.0,4.855,0
35.0,3.0,0.0,0.0,95.0,2.0,0.0,0.0,4.855,0
40.0,3.0,1.0,0.0,255.0,6.0,0.0,0.0,4.855,0
50.0,5.0,1.0,0.0,56.0,2.0,0.0,0.0,4.855,0
35.0,2.0,1.0,0.0,210.0,2.0,0.0,0.0,4.855,0
25.0,4.0,0.0,0.0,219.0,4.0,0.0,0.0,4.855,0
37.0,6.0,1.0,0.0,248.0,3.0,0.0,0.0,4.855,0
32.0,5.0,1.0,1.0,105.0,2.0,0.0,0.0,4.855,0
41.0,5.0,0.0,0.0,112.0,2.0,0.0,0.0,4.855,0
28.0,6.0,1.0,0.0,393.0,2.0,0.0,0.0,4.855,0
46.0,1.0,0.0,0.0,246.0,3.0,0.0,0.0,4.855,0
38.0,6.0,0.0,0.0,277.0,3.0,0.0,0.0,4.855,0
33.0,2.0,0.0,0.0,89.0,7.0,0.0,0.0,4.855,0
49.0,6.0,1.0,1.0,272.0,4.0,0.0,0.0,4.855,0
43.0,1.0,0.0,0.0,200.0,2.0,0.0,0.0,4.855,0
42.0,6.0,1.0,0.0,117.0,3.0,0.0,0.0,4.855,0
47.0,4.0,0.0,0.0,37.0,3.0,0.0,0.0,4.855,0
34.0,3.0,0.0,0.0,466.0,2.0,0.0,0.0,4.855,0
51.0,6.0,0.0,0.0,826.0,3.0,0.0,0.0,4.855,0
40.0,2.0,0.0,0.0,201.0,2.0,0.0,0.0,4.855,0
38.0,5.0,1.0,0.0,287.0,4.0,0.0,0.0,4.855,0
28.0,4.0,0.0,0.0,144.0,2.0,0.0,0.0,4.855,0
48.0,5.0,1.0,0.0,211.0,2.0,0.0,0.0,4.855,0
49.0,1.0,0.0,0.0,122.0,4.0,0.0,0.0,4.855,0
39.0,4.0,1.0,0.0,283.0,1.0,0.0,0.0,4.855,0
37.0,3.0,0.0,0.0,71.0,3.0,0.0,0.0,4.855,0
27.0,6.0,0.0,1.0,357.0,1.0,0.0,0.0,4.855,0
39.0,3.0,1.0,0.0,85.0,2.0,0.0,0.0,4.855,0
33.0,6.0,0.0,0.0,21.0,1.0,0.0,0.0,4.855,0
36.0,2.0,0.0,0.0,296.0,3.0,0.0,0.0,4.855,0
38.0,3.0,0.0,0.0,772.0,1.0,0.0,0.0,4.855,1
28.0,4.0,0.0,0.0,143.0,1.0,0.0,0.0,4.855,0
39.0,3.0,1.0,0.0,254.0,1.0,0.0,0.0,4.855,0
41.0,6.0,0.0,0.0,45.0,1.0,0.0,0.0,4.855,0
31.0,1.0,0.0,0.0,157.0,1.0,0.0,0.0,4.855,0
28.0,4.0,1.0,1.0,386.0,1.0,0.0,0.0,4.855,0
46.0,1.0,0.0,0.0,232.0,1.0,0.0,0.0,4.855,0
60.0,6.0,1.0,0.0,576.0,1.0,0.0,0.0,4.855,0
35.0,3.0,0.0,0.0,399.0,3.0,0.0,0.0,4.855,0
29.0,6.0,1.0,0.0,123.0,1.0,0.0,0.0,4.855,0
39.0,3.0,1.0,0.0,249.0,3.0,0.0,0.0,4.855,0
49.0,1.0,0.0,0.0,207.0,1.0,0.0,0.0,4.855,0
31.0,3.0,0.0,0.0,136.0,2.0,0.0,0.0,4.855,0
36.0,3.0,0.0,0.0,117.0,2.0,0.0,0.0,4.855,0
37.0,,0.0,0.0,107.0,1.0,0.0,0.0,4.855,0
39.0,6.0,0.0,0.0,38.0,1.0,0.0,0.0,4.855,0
58.0,6.0,1.0,0.0,825.0,1.0,0.0,0.0,4.855,0
39.0,2.0,1.0,0.0,308.0,1.0,0.0,0.0,4.855,0
32.0,4.0,0.0,0.0,213.0,2.0,0.0,0.0,4.855,0
46.0,5.0,0.0,0.0,115.0,1.0,0.0,0.0,4.855,0
51.0,3.0,0.0,0.0,202.0,1.0,0.0,0.0,4.855,0
25.0,5.0,1.0,1.0,156.0,2.0,0.0,0.0,4.855,0
43.0,4.0,1.0,0.0,206.0,2.0,0.0,0.0,4.855,0
32.0,4.0,1.0,0.0,324.0,2.0,0.0,0.0,4.855,0
35.0,4.0,0.0,0.0,91.0,2.0,0.0,0.0,4.855,0
50.0,6.0,1.0,1.0,63.0,1.0,0.0,0.0,4.855,0
33.0,6.0,0.0,0.0,261.0,1.0,0.0,0.0,4.855,0
53.0,1.0,1.0,0.0,241.0,1.0,0.0,0.0,4.855,0
34.0,6.0,1.0,0.0,197.0,4.0,0.0,0.0,4.855,0
34.0,5.0,1.0,1.0,224.0,3.0,0.0,0.0,4.855,0
36.0,5.0,0.0,0.0,194.0,1.0,0.0,0.0,4.855,0
32.0,4.0,0.0,0.0,209.0,3.0,0.0,0.0,4.855,0
53.0,6.0,0.0,0.0,404.0,2.0,0.0,0.0,4.855,0
51.0,5.0,0.0,0.0,134.0,1.0,0.0,0.0,4.855,0
32.0,4.0,0.0,0.0,129.0,1.0,0.0,0.0,4.855,0
59.0,6.0,0.0,0.0,279.0,2.0,0.0,0.0,4.855,0
32.0,6.0,0.0,0.0,195.0,1.0,0.0,0.0,4.855,0
39.0,6.0,1.0,0.0,127.0,1.0,0.0,0.0,4.855,0
52.0,6.0,0.0,0.0,61.0,1.0,0.0,0.0,4.855,0
33.0,6.0,1.0,1.0,274.0,2.0,0.0,0.0,4.855,0
60.0,6.0,0.0,0.0,409.0,3.0,0.0,0.0,4.855,0
32.0,6.0,1.0,1.0,144.0,2.0,0.0,0.0,4.855,0
52.0,3.0,1.0,0.0,346.0,3.0,0.0,0.0,4.855,0
37.0,4.0,1.0,0.0,153.0,1.0,0.0,0.0,4.855,0
41.0,4.0,1.0,0.0,262.0,1.0,0.0,0.0,4.855,0
