edad,antiguedad_meses,plan,cargo_mensual,llamadas_soporte,fuga
61,68,Estándar,66,1,no
52,68,Estándar,64,0,no
65,58,Básico,32,0,no
30,18,Básico,32,0,no
74,45,Premium,84,2,si
48,18,Premium,89,2,no
22,15,Estándar,44,1,no
51,70,Básico,12,1,no
20,46,Básico,29,1,si
20,41,Básico,39,0,no
42,44,Premium,81,1,no
37,58,Estándar,47,2,no
19,19,Estándar,49,1,no
26,68,Básico,25,1,no
26,10,Básico,35,2,no
58,23,Premium,93,3,no
51,53,Estándar,44,1,no
73,8,Estándar,61,3,no
59,22,Básico,22,2,si
54,54,Básico,29,0,no
73,41,Básico,29,0,no
33,21,Estándar,64,0,si
56,61,Básico,13,3,no
53,36,Estándar,61,2,no
51,59,Premium,69,0,no
19,48,Estándar,53,1,no
64,49,Estándar,59,2,no
21,18,Estándar,42,0,no
35,72,Premium,86,0,no
75,51,Estándar,65,0,no
55,31,Estándar,32,2,no
74,61,Premium,78,1,no
71,51,Premium,89,1,no
26,65,Premium,78,0,no
23,52,Estándar,56,1,no
21,16,Estándar,49,0,no
62,71,Básico,31,0,no
75,65,Premium,94,2,no
37,3,Estándar,67,4,si
67,54,Estándar,40,1,no
66,3,Premium,110,4,no
74,3,Estándar,55,3,si
54,41,Premium,94,0,no
53,64,Estándar,64,0,no
44,54,Básico,32,0,no
30,72,Premium,90,0,no
36,49,Básico,35,0,si
65,19,Premium,107,0,no
47,22,Estándar,56,1,si
26,30,Básico,34,3,no
50,56,Básico,32,0,no
32,39,Premium,76,3,no
24,68,Premium,61,0,no
31,19,Básico,30,1,no
21,13,Premium,64,1,no
61,49,Estándar,67,2,no
29,56,Básico,36,1,no
33,67,Premium,95,2,no
37,1,Básico,37,1,si
43,41,Básico,27,0,no
63,27,Estándar,70,0,si
48,52,Premium,55,1,no
59,52,Estándar,50,0,no
27,45,Estándar,66,0,no
20,15,Básico,30,2,no
60,56,Básico,20,1,no
60,63,Básico,38,0,no
25,31,Básico,28,0,si
46,7,Básico,35,2,no
32,38,Estándar,62,0,no
31,55,Estándar,56,0,no
40,55,Estándar,58,1,no
66,53,Básico,34,0,no
46,10,Estándar,41,2,no
22,69,Básico,18,0,no
71,59,Estándar,78,1,no
59,22,Estándar,57,2,si
25,55,Básico,27,1,no
28,57,Estándar,44,0,no
33,36,Estándar,50,1,no
33,64,Estándar,49,2,no
67,10,Estándar,59,3,si
50,27,Básico,30,0,no
57,8,Básico,25,4,si
67,4,Premium,111,4,no
61,15,Premium,90,2,no
64,41,Estándar,67,2,no
53,59,Básico,35,1,no
40,2,Básico,30,4,si
75,67,Premium,61,1,no
71,42,Básico,39,1,no
34,16,Básico,42,1,si
72,58,Premium,103,4,no
55,34,Básico,33,1,no
42,55,Estándar,53,2,no
30,68,Básico,30,2,si
35,8,Premium,130,4,no
69,50,Estándar,43,1,no
49,70,Premium,111,3,no
19,19,Básico,15,0,no
59,41,Premium,71,0,no
43,5,Premium,93,2,no
39,58,Estándar,63,2,no
71,62,Básico,33,3,no
39,62,Premium,69,1,no
24,7,Básico,22,5,si
48,63,Estándar,63,1,no
24,11,Estándar,46,1,no
20,65,Premium,64,1,no
30,19,Estándar,59,1,no
27,13,Estándar,48,2,si
62,52,Estándar,75,1,no
65,57,Básico,34,1,no
63,65,Básico,19,3,no
61,4,Premium,103,4,si
67,28,Premium,102,3,no
63,36,Básico,21,0,no
56,37,Estándar,54,1,no
60,41,Estándar,60,1,no
68,61,Estándar,67,0,no
40,29,Básico,23,1,no
73,49,Estándar,45,1,no
21,1,Básico,28,3,si
64,48,Estándar,75,3,si
47,67,Premium,78,0,no
64,3,Básico,26,4,si
53,33,Básico,27,0,no
25,14,Básico,19,1,si
54,64,Básico,30,0,no
69,41,Básico,26,1,no
47,35,Estándar,57,0,no
46,24,Estándar,42,2,no
65,29,Estándar,44,0,no
21,2,Premium,83,5,si
46,12,Premium,81,4,si
31,59,Estándar,64,1,no
36,71,Premium,84,2,no
63,44,Estándar,63,1,no
50,23,Estándar,61,0,no
36,58,Básico,31,0,no
63,23,Básico,26,0,no
51,14,Premium,96,2,si
65,72,Premium,89,0,no
18,33,Estándar,61,0,no
29,66,Básico,45,3,no
71,39,Estándar,42,1,no
31,68,Básico,31,1,no
25,50,Estándar,54,2,no
58,9,Estándar,71,1,no
63,43,Básico,33,2,no
65,6,Básico,31,3,no
43,70,Básico,27,2,no
31,45,Básico,41,1,no
59,71,Estándar,68,1,no
27,47,Estándar,62,0,no
49,71,Estándar,66,1,no
31,5,Estándar,64,1,no
60,31,Estándar,65,0,no
41,30,Básico,18,2,no
52,23,Básico,24,2,no
32,10,Estándar,62,3,no
44,3,Estándar,55,3,no
23,28,Premium,96,0,no
55,9,Estándar,56,4,si
26,70,Estándar,65,1,no
66,13,Estándar,48,3,si
44,47,Premium,93,1,no
48,33,Estándar,68,0,no
21,21,Estándar,54,0,no
36,8,Estándar,72,4,si
28,12,Básico,25,2,si
35,29,Premium,80,1,no
42,62,Estándar,51,2,no
40,67,Básico,18,0,no
65,26,Básico,27,1,si
20,62,Premium,79,0,no
40,51,Básico,35,1,no
35,61,Básico,37,0,no
72,49,Estándar,53,1,no
21,51,Premium,95,1,no
54,69,Estándar,58,0,no
58,52,Básico,32,0,no
19,17,Básico,27,3,no
34,20,Básico,46,1,no
53,57,Premium,106,1,no
37,47,Básico,26,1,no
53,48,Estándar,58,1,no
35,37,Estándar,48,1,si
36,35,Premium,73,3,si
27,8,Estándar,54,2,si
24,67,Estándar,65,0,no
60,28,Básico,36,1,no
61,44,Estándar,54,1,no
30,3,Estándar,51,3,no
22,68,Estándar,46,2,no
52,50,Estándar,61,2,no
59,50,Básico,41,2,no
53,54,Básico,36,2,no
29,72,Estándar,39,0,no
46,46,Premium,104,0,no
18,5,Premium,77,2,no
54,20,Estándar,64,1,no
62,13,Premium,97,2,si
56,2,Estándar,46,2,si
68,51,Estándar,44,0,no
53,68,Estándar,55,1,no
46,19,Premium,94,1,no
69,15,Básico,27,0,no
21,37,Básico,38,1,no
42,66,Básico,34,1,no
40,46,Básico,29,1,no
60,18,Premium,101,1,no
73,18,Premium,96,1,si
74,19,Básico,28,0,no
54,30,Básico,17,2,si
44,2,Básico,47,4,no
70,49,Estándar,44,1,no
65,6,Estándar,44,3,no
64,65,Estándar,51,0,no
63,21,Estándar,54,0,no
27,21,Estándar,50,0,no
72,64,Estándar,54,1,no
59,45,Básico,30,2,no
29,59,Estándar,55,2,no
31,8,Básico,22,1,no
26,64,Básico,19,2,no
53,28,Básico,29,2,si
39,44,Básico,38,2,no
53,69,Estándar,50,2,no
25,40,Básico,28,1,no
48,65,Básico,23,0,no
73,67,Básico,35,2,no
52,41,Básico,35,0,no
28,10,Estándar,47,4,si
39,26,Básico,46,0,no
32,29,Estándar,68,1,no
54,17,Básico,43,1,no
31,56,Básico,32,1,no
22,14,Premium,72,1,no
36,50,Estándar,47,0,no
72,38,Premium,77,3,no
45,70,Estándar,56,1,no
26,11,Premium,97,1,no
49,31,Básico,29,3,no
51,11,Básico,24,0,si
75,61,Estándar,47,0,no
65,4,Básico,27,5,si
69,23,Estándar,54,0,no
31,45,Estándar,70,2,no
45,2,Estándar,51,1,no
55,51,Básico,44,3,no
61,58,Estándar,45,2,no
59,24,Estándar,68,0,no
67,8,Básico,25,3,no
63,34,Premium,97,2,no
50,63,Estándar,45,1,no
59,12,Premium,90,0,si
49,11,Estándar,63,2,si
39,6,Básico,24,2,si
57,6,Premium,89,4,si
39,52,Básico,42,0,no
46,32,Estándar,58,2,no
62,17,Estándar,54,1,no
33,25,Básico,37,0,no
60,6,Básico,37,6,si
33,57,Básico,24,0,no
57,59,Básico,26,1,no
32,38,Estándar,41,0,no
33,32,Estándar,44,3,no
69,13,Estándar,48,3,no
47,60,Básico,32,2,no
57,70,Básico,25,2,no
53,27,Estándar,52,0,no
21,9,Estándar,47,0,si
23,11,Premium,100,8,si
48,45,Premium,66,2,no
47,39,Estándar,63,0,no
29,23,Estándar,63,2,no
28,69,Estándar,42,1,no
66,19,Básico,34,2,no
51,29,Básico,18,0,si
43,19,Estándar,53,1,no
64,54,Premium,73,3,no
53,60,Estándar,51,3,no
71,61,Premium,64,1,no
34,61,Estándar,73,2,no
36,68,Básico,28,1,no
52,46,Básico,31,0,no
53,15,Estándar,54,2,si
65,16,Básico,33,3,no
21,61,Estándar,74,2,no
55,45,Premium,70,2,no
50,61,Premium,112,2,no
66,47,Básico,27,1,si
48,48,Premium,70,0,no
30,44,Básico,35,0,no
50,36,Premium,116,5,no
37,13,Básico,31,1,no
46,41,Básico,18,1,no
53,70,Estándar,45,2,no
19,44,Estándar,50,1,no
20,59,Estándar,49,2,no
60,44,Premium,75,1,no
23,13,Estándar,48,1,no
53,24,Estándar,51,0,no
64,8,Premium,74,4,si
43,31,Estándar,54,1,no
29,6,Estándar,66,3,si
65,65,Básico,28,0,no
33,55,Estándar,56,1,no
48,48,Básico,34,1,no
69,16,Básico,24,1,no
59,53,Premium,86,2,no
44,71,Básico,29,3,no
66,17,Premium,72,0,no
71,29,Premium,91,2,no
18,68,Estándar,55,0,no
70,37,Estándar,54,1,no
31,50,Básico,25,1,no
34,65,Básico,25,0,no
20,17,Básico,25,0,no
27,72,Estándar,64,3,no
49,15,Estándar,43,1,no
54,24,Estándar,52,2,no
47,35,Estándar,57,2,no
21,10,Básico,20,3,si
65,40,Premium,82,2,no
58,55,Básico,38,1,no
37,32,Estándar,62,3,si
25,60,Estándar,58,1,no
56,34,Estándar,61,1,no
41,51,Premium,90,1,no
27,61,Estándar,51,1,no
72,56,Básico,45,0,no
38,71,Estándar,53,2,no
61,44,Básico,44,0,no
23,62,Estándar,46,2,no
75,65,Premium,93,2,no
63,7,Estándar,56,4,no
41,21,Premium,85,1,no
28,11,Básico,18,1,no
61,47,Estándar,65,2,no
63,67,Premium,82,0,no
74,70,Estándar,45,0,no
50,71,Básico,22,1,no
50,46,Básico,40,1,no
60,18,Básico,39,2,no
46,10,Estándar,47,1,si
26,66,Estándar,64,0,no
41,40,Básico,37,1,no
54,40,Estándar,55,0,no
60,53,Estándar,39,2,no
57,70,Básico,41,2,no
46,11,Premium,95,5,si
23,20,Básico,20,2,no
30,31,Básico,30,1,no
33,72,Estándar,42,0,no
20,1,Estándar,65,5,si
52,9,Básico,12,2,si
46,35,Estándar,56,2,no
52,11,Estándar,84,3,no
18,16,Estándar,32,2,no
75,27,Básico,34,1,no
26,34,Estándar,73,2,no
72,42,Estándar,47,0,si
23,4,Básico,36,4,no
48,31,Básico,30,1,no
74,9,Básico,31,4,no
47,50,Estándar,51,2,no
75,17,Premium,80,1,no
37,44,Básico,25,1,no
30,61,Básico,22,2,no
57,28,Básico,12,2,no
55,47,Básico,32,2,no
25,44,Estándar,56,1,no
30,69,Estándar,48,2,no
74,63,Premium,98,2,no
63,64,Estándar,42,0,no
66,11,Básico,32,2,no
22,46,Básico,35,1,no
30,18,Premium,81,1,no
66,20,Estándar,60,0,no
72,72,Estándar,50,1,no
55,3,Básico,28,2,si
46,39,Básico,29,2,si
51,2,Básico,37,5,si
37,26,Estándar,72,2,no
36,59,Estándar,44,0,no
74,21,Básico,43,1,si
38,53,Estándar,48,2,no
49,60,Estándar,57,2,no
66,2,Básico,28,3,si
18,7,Básico,26,2,no
71,22,Estándar,55,1,no
31,59,Básico,28,1,no
34,13,Estándar,32,0,no
58,30,Básico,17,3,si
59,5,Básico,31,3,no
31,70,Básico,43,2,no
27,27,Básico,33,0,no
73,62,Básico,34,2,no
37,69,Estándar,64,2,no
44,51,Estándar,68,1,no
64,45,Premium,71,1,no
61,19,Estándar,54,1,no
71,55,Estándar,55,0,no
43,40,Premium,101,3,no
25,58,Estándar,49,1,no
19,31,Básico,28,3,no
49,61,Estándar,56,1,no
71,18,Estándar,41,2,no
38,3,Premium,68,1,no
42,38,Básico,18,1,no
25,62,Premium,82,1,no
25,18,Premium,78,1,no
68,72,Estándar,65,0,no
55,69,Básico,28,1,no
36,29,Premium,71,0,no
63,49,Estándar,55,1,no
72,21,Premium,107,1,no
69,7,Estándar,54,4,no
61,19,Estándar,35,1,no
43,63,Básico,46,0,no
25,11,Básico,38,1,si
63,69,Básico,38,1,no
75,16,Premium,97,4,no
45,1,Estándar,67,3,si
60,6,Estándar,56,3,si
34,55,Básico,35,0,no
68,56,Básico,15,0,no
32,49,Premium,115,2,no
38,50,Básico,36,0,no
58,48,Premium,113,0,no
72,12,Básico,38,3,si
64,18,Estándar,52,0,no
70,68,Estándar,54,1,no
61,32,Básico,28,1,no
47,63,Premium,90,2,no
67,33,Básico,30,0,no
30,15,Premium,90,0,no
74,52,Estándar,58,1,no
65,2,Premium,77,5,no
62,65,Premium,93,2,no
51,40,Básico,23,2,si
38,28,Estándar,28,0,no
65,68,Premium,79,2,no
57,44,Premium,81,0,no
58,16,Básico,33,2,no
73,66,Estándar,53,0,no
63,68,Estándar,54,1,no
31,69,Premium,117,2,no
40,29,Básico,29,1,no
38,35,Estándar,47,0,no
64,24,Estándar,54,2,no
42,50,Estándar,53,3,si
39,11,Estándar,58,5,si
27,1,Premium,104,5,si
36,46,Básico,36,1,no
35,64,Premium,94,2,no
22,15,Estándar,33,1,no
44,71,Básico,20,0,si
19,47,Premium,53,1,no
26,16,Básico,23,3,si
22,2,Básico,17,3,no
66,23,Básico,24,1,no
26,28,Estándar,52,2,no
24,10,Básico,32,3,si
54,6,Básico,17,3,si
65,65,Estándar,48,0,no
69,19,Premium,89,0,no
31,10,Básico,25,2,si
22,36,Básico,23,1,no
57,17,Estándar,51,3,no
53,2,Estándar,58,3,si
43,56,Premium,94,1,no
56,49,Básico,43,2,no
44,68,Estándar,62,1,no
45,46,Premium,105,1,si
27,64,Premium,78,2,no
44,70,Premium,91,1,no
40,46,Estándar,42,0,no
62,13,Estándar,73,3,no
47,71,Básico,30,1,no
74,34,Básico,24,3,no
53,51,Estándar,75,0,no
50,16,Premium,70,2,no
42,4,Básico,20,3,no
35,11,Estándar,68,3,si
19,53,Estándar,49,3,no
39,45,Básico,19,2,no
64,17,Básico,31,0,no
35,51,Premium,109,1,no
70,9,Premium,104,2,no
33,10,Básico,32,3,si
63,10,Estándar,64,3,no
33,3,Estándar,52,3,no
35,41,Estándar,69,0,no
21,2,Básico,46,4,si
37,10,Básico,49,2,no
60,16,Estándar,48,1,no
22,64,Estándar,54,2,no
50,14,Básico,35,0,no
33,3,Estándar,51,4,si
24,7,Básico,22,1,si
22,69,Básico,20,0,no
64,1,Estándar,65,5,si
34,10,Básico,35,5,si
66,19,Estándar,56,0,no
71,62,Premium,81,1,no
30,49,Estándar,38,0,no
51,44,Básico,14,1,no
28,39,Estándar,51,2,no
67,72,Estándar,55,1,no
24,34,Premium,106,1,no
68,56,Básico,25,1,no
26,39,Básico,32,1,si
59,14,Básico,20,3,no
32,20,Estándar,52,2,no
25,39,Básico,37,0,no
28,66,Estándar,54,1,no
18,39,Estándar,42,2,no
75,68,Básico,28,0,no
60,24,Estándar,57,1,no
24,64,Básico,38,1,no
22,57,Premium,81,0,no
28,56,Básico,36,1,no
59,68,Premium,63,2,no
37,13,Estándar,60,2,no
50,40,Premium,95,3,no
64,43,Estándar,68,2,si
26,35,Estándar,48,1,no
42,3,Estándar,52,3,si
32,53,Estándar,54,3,no
33,38,Estándar,62,1,no
33,68,Premium,99,2,no
25,48,Estándar,52,3,no
19,49,Básico,16,3,no
69,28,Premium,89,2,no
54,67,Estándar,46,0,no
35,47,Básico,29,4,no
44,8,Estándar,63,2,no
32,15,Estándar,51,1,si
24,10,Básico,26,4,si
75,48,Premium,48,2,no
71,5,Básico,34,1,si
69,7,Premium,71,1,no
44,47,Premium,74,2,no
60,18,Estándar,41,0,no
48,13,Estándar,44,3,no
75,44,Básico,21,1,no
50,11,Premium,77,3,si
51,66,Estándar,61,0,no
35,63,Básico,23,0,si
75,70,Premium,78,0,no
49,34,Premium,86,2,no
22,41,Estándar,57,0,no
48,20,Básico,29,0,no
62,34,Básico,21,0,no
74,37,Básico,23,0,no
61,31,Estándar,63,1,no
20,40,Estándar,56,1,no
39,46,Estándar,56,0,no
20,3,Premium,69,3,si
70,35,Estándar,58,1,no
65,3,Estándar,52,2,no
49,51,Básico,43,1,no
49,32,Básico,26,2,no
73,1,Estándar,54,1,si
18,21,Básico,35,0,si
36,35,Básico,19,0,no
26,22,Premium,85,2,si
28,9,Estándar,47,0,no
27,14,Básico,38,1,no
48,27,Estándar,64,1,no
25,31,Estándar,70,0,no
53,57,Premium,62,1,no
29,2,Básico,31,3,si
63,33,Premium,87,2,no
63,23,Estándar,58,2,si
72,41,Premium,95,2,no
56,26,Básico,27,0,si
29,12,Premium,96,2,no
21,49,Básico,40,0,no
59,67,Básico,19,1,no
68,35,Premium,95,3,no
62,14,Básico,19,3,no
43,61,Estándar,40,0,no
43,4,Premium,93,3,si
43,22,Básico,34,0,si
24,61,Básico,22,0,no
56,51,Premium,83,2,no
32,18,Básico,28,0,no
69,11,Básico,30,3,si
45,34,Básico,30,0,si
63,34,Básico,26,1,no
70,4,Básico,25,4,no
35,45,Estándar,53,1,no
42,66,Premium,94,2,no
50,70,Básico,30,0,no
35,1,Estándar,53,5,no
58,43,Estándar,56,0,no
54,11,Estándar,46,1,no
36,72,Básico,22,0,no
43,71,Premium,67,0,no
70,58,Estándar,64,1,no
32,18,Básico,23,3,si
30,21,Estándar,47,2,no
29,60,Básico,26,2,si
34,69,Estándar,55,1,no
59,57,Estándar,50,0,no
75,63,Básico,32,2,no
63,38,Estándar,49,0,no
18,34,Básico,42,0,no
73,68,Estándar,44,1,no
65,68,Básico,31,2,no
51,32,Estándar,56,0,no
37,8,Básico,44,3,si
56,63,Estándar,55,0,no
48,66,Básico,31,1,no
49,21,Estándar,62,0,no
57,27,Estándar,70,0,no
34,61,Básico,44,2,no
47,36,Básico,24,1,no
24,10,Premium,89,1,si
35,69,Estándar,64,0,no
54,70,Básico,30,2,no
47,47,Estándar,47,2,no
19,56,Estándar,80,3,no
47,25,Estándar,54,1,no
45,3,Premium,78,3,no
63,20,Premium,95,4,no
28,55,Básico,36,3,no
67,49,Básico,30,0,no
23,65,Básico,26,1,no
59,50,Básico,35,3,si
31,38,Estándar,48,0,no
34,42,Premium,99,4,no
44,9,Básico,37,2,no
48,64,Estándar,62,1,no
60,39,Básico,20,1,no
30,24,Básico,49,2,no
34,70,Estándar,40,0,no
45,4,Estándar,61,4,no
43,66,Estándar,61,1,no
24,22,Básico,44,1,no
44,61,Estándar,50,2,no
33,51,Premium,90,2,no
61,36,Estándar,55,1,no
35,6,Básico,29,2,no
41,31,Estándar,65,0,no
24,63,Básico,21,0,no
55,13,Estándar,51,0,no
58,56,Premium,85,3,no
33,36,Premium,84,0,no
57,69,Básico,31,0,no
69,57,Básico,41,0,no
74,52,Estándar,45,0,no
70,6,Básico,30,3,si
53,71,Estándar,61,0,no
33,41,Básico,27,0,no
40,71,Básico,29,2,no
63,19,Estándar,64,1,no
32,66,Básico,33,1,no
64,25,Estándar,55,0,no
39,24,Básico,41,0,no
56,8,Básico,33,4,no
31,45,Básico,30,0,no
68,16,Premium,93,0,no
25,71,Estándar,47,3,no
72,67,Estándar,67,0,no
49,14,Estándar,63,2,no
29,41,Estándar,54,2,no
29,29,Básico,20,3,no
29,50,Premium,95,1,no
62,2,Básico,23,0,si
25,21,Estándar,64,0,no
23,72,Premium,78,4,no
46,6,Estándar,49,5,si
50,9,Premium,73,2,si
51,69,Básico,43,4,si
19,61,Estándar,57,0,no
41,29,Estándar,64,1,no
40,27,Premium,105,0,no
73,47,Básico,38,1,no
28,50,Estándar,48,1,no
38,60,Básico,30,3,no
75,46,Básico,43,0,no
27,21,Premium,72,0,no
42,62,Básico,35,1,no
22,23,Premium,96,1,si
44,22,Premium,98,1,no
66,59,Básico,26,2,no
68,55,Estándar,47,0,no
69,17,Básico,31,3,no
47,43,Premium,81,4,si
38,68,Básico,35,1,no
30,16,Estándar,72,1,no
51,1,Estándar,40,5,no
55,47,Básico,13,0,no
28,6,Básico,27,1,no
73,20,Básico,22,2,no
72,71,Básico,29,0,no
31,54,Estándar,61,0,no
48,9,Estándar,65,0,no
68,30,Premium,90,0,no
64,35,Premium,102,1,no
38,69,Estándar,59,1,no
37,34,Premium,92,1,no
56,59,Básico,36,3,no
57,5,Básico,26,5,si
23,53,Básico,24,2,no
21,72,Básico,41,1,no
63,54,Básico,32,2,no
65,37,Premium,87,0,no
25,6,Básico,38,3,no
74,33,Básico,30,1,no
72,32,Premium,91,8,si
45,48,Estándar,64,1,si
48,23,Premium,95,3,no
49,56,Básico,34,3,no
18,6,Estándar,46,1,si
41,71,Estándar,46,0,no
26,43,Básico,28,0,no
54,18,Premium,114,0,no
49,15,Estándar,52,1,no
75,25,Premium,81,0,si
31,24,Básico,13,2,no
58,6,Premium,70,0,no
49,12,Básico,12,2,no
31,53,Premium,107,2,no
29,58,Estándar,64,1,no
20,39,Estándar,59,0,no
19,68,Estándar,63,2,no
74,18,Básico,33,1,si
62,51,Básico,33,3,no
48,28,Estándar,63,1,no
41,29,Premium,97,1,no
68,66,Estándar,66,2,no
47,44,Básico,23,0,no
48,44,Estándar,65,0,no
70,43,Básico,35,0,no
69,60,Básico,26,0,no
27,33,Estándar,52,1,no
30,35,Estándar,65,1,no
65,55,Estándar,58,1,no
27,3,Premium,76,4,no
47,22,Básico,28,1,no
74,50,Básico,38,2,no
71,49,Básico,19,0,no
63,3,Básico,24,4,no
69,26,Estándar,61,2,no
35,24,Premium,90,2,no
30,10,Premium,101,6,no
50,3,Estándar,34,2,si
20,9,Estándar,55,1,no
71,52,Estándar,55,0,no
19,28,Básico,20,1,no
47,48,Estándar,63,2,no
48,6,Estándar,47,4,si
19,58,Estándar,40,2,no
27,49,Básico,38,2,si
30,54,Estándar,61,1,no
60,59,Básico,14,0,no
63,67,Estándar,48,1,no
53,29,Premium,63,1,no
60,9,Estándar,59,1,si
33,37,Estándar,32,1,no
62,20,Estándar,56,2,no
57,1,Premium,88,5,si
59,66,Básico,39,1,no
37,42,Premium,100,3,no
48,56,Básico,14,1,no
70,64,Básico,40,0,no
28,33,Premium,73,0,no
18,14,Básico,35,0,no
64,6,Estándar,40,1,no
38,29,Básico,34,2,no
22,36,Estándar,34,1,no
42,72,Premium,81,2,no
28,55,Básico,31,2,no
29,15,Premium,97,1,no
34,3,Estándar,67,2,si
24,66,Estándar,48,0,no
38,48,Estándar,56,1,no
25,18,Estándar,58,1,si
60,18,Premium,79,1,si
51,13,Básico,16,1,no
69,71,Premium,116,3,no
18,14,Premium,76,2,no
69,3,Básico,17,2,si
57,50,Estándar,58,0,no
43,25,Premium,88,2,no
18,27,Básico,18,1,no
30,19,Estándar,58,0,no
25,37,Básico,37,1,no
28,62,Básico,33,1,no
65,52,Estándar,76,1,no
51,1,Estándar,56,3,si
56,46,Premium,90,3,si
26,30,Estándar,52,2,no
35,58,Básico,31,0,no
64,1,Estándar,65,3,si
58,3,Estándar,50,6,si
64,27,Estándar,44,1,si
22,20,Básico,40,0,no
71,69,Estándar,51,0,no
55,15,Básico,25,2,si
69,17,Premium,88,4,no
68,29,Básico,33,1,si
19,4,Básico,38,4,si
19,20,Premium,70,0,no
67,10,Estándar,66,4,si
51,36,Básico,42,0,no
63,6,Básico,28,3,si
21,16,Básico,28,0,no
30,49,Básico,29,0,no
74,54,Básico,25,1,no
66,48,Básico,31,2,no
36,66,Básico,14,0,no
71,8,Estándar,51,1,si
69,19,Estándar,47,1,no
59,42,Básico,32,2,no
51,2,Estándar,55,7,si
62,64,Estándar,54,2,no
51,37,Básico,37,1,no
33,58,Básico,29,4,no
45,56,Premium,101,2,no
56,12,Básico,36,2,no
58,63,Básico,18,0,no
39,39,Estándar,57,1,no
54,9,Estándar,75,3,no
42,38,Estándar,62,0,no
36,3,Estándar,42,2,no
54,72,Estándar,58,1,no
56,29,Básico,29,2,no
60,16,Estándar,76,2,no
58,10,Básico,28,1,si
67,35,Premium,81,1,no
42,9,Premium,93,5,si
59,36,Básico,40,2,no
19,64,Básico,35,2,no
49,61,Estándar,75,2,no
38,46,Básico,22,2,no
25,29,Básico,30,1,si
73,42,Premium,77,3,no
75,60,Premium,87,2,no
52,44,Básico,21,0,no
19,44,Básico,32,1,no
67,19,Estándar,72,2,no
67,43,Básico,22,0,no
52,35,Estándar,52,0,no
45,33,Premium,76,0,no
46,12,Estándar,55,1,no
58,60,Básico,20,0,no
61,68,Estándar,55,1,no
20,4,Estándar,52,3,si
26,69,Básico,26,0,no
29,69,Premium,90,0,no
50,14,Premium,64,0,no
18,25,Básico,26,1,no
41,27,Básico,40,0,no
69,55,Básico,23,1,no
62,68,Premium,92,1,no
69,55,Básico,13,0,no
64,55,Estándar,68,0,no
72,1,Básico,32,3,si
39,62,Básico,28,1,no
72,29,Estándar,36,0,no
70,23,Básico,38,1,no
51,32,Premium,73,0,no
53,35,Premium,97,0,no
53,24,Básico,26,1,si
54,28,Básico,12,0,no
33,70,Estándar,59,0,no
67,64,Premium,106,2,no
51,64,Estándar,54,1,no
21,71,Estándar,48,2,no
74,48,Estándar,50,2,no
68,42,Estándar,47,2,no
40,4,Estándar,61,2,si
58,20,Básico,33,0,si
24,17,Básico,32,1,si
31,69,Básico,29,2,no
39,2,Estándar,47,3,no
31,45,Básico,27,1,no
31,4,Premium,88,6,si
23,56,Estándar,59,0,no
62,37,Básico,33,1,no
