duracion_meses,monto_credito,edad,carga_cuota_pct,creditos_vigentes,cuenta_corriente,ahorros,historial_crediticio,incumplimiento
42.0,5954.0,41.0,2.0,2.0,2.0,1.0,4.0,0
36.0,1977.0,40.0,4.0,1.0,1.0,0.0,2.0,1
12.0,1526.0,66.0,4.0,2.0,1.0,1.0,4.0,0
42.0,3965.0,34.0,4.0,1.0,1.0,1.0,2.0,1
11.0,4771.0,51.0,2.0,1.0,2.0,1.0,3.0,0
54.0,9436.0,39.0,2.0,1.0,0.0,0.0,0.0,0
30.0,3832.0,22.0,2.0,1.0,2.0,1.0,2.0,0
24.0,5943.0,44.0,1.0,2.0,0.0,0.0,2.0,1
15.0,1213.0,47.0,4.0,1.0,0.0,3.0,2.0,0
18.0,1568.0,24.0,3.0,1.0,0.0,2.0,2.0,0
24.0,1755.0,58.0,4.0,1.0,1.0,1.0,2.0,0
10.0,2315.0,52.0,3.0,1.0,1.0,1.0,2.0,0
12.0,1412.0,29.0,4.0,2.0,0.0,1.0,4.0,0
18.0,1295.0,27.0,4.0,2.0,2.0,1.0,4.0,0
36.0,12612.0,47.0,1.0,1.0,2.0,2.0,2.0,1
18.0,2249.0,30.0,4.0,1.0,1.0,2.0,2.0,0
12.0,1108.0,28.0,4.0,2.0,1.0,1.0,0.0,1
12.0,618.0,56.0,4.0,1.0,0.0,1.0,4.0,0
12.0,1409.0,54.0,4.0,1.0,1.0,1.0,4.0,0
12.0,797.0,33.0,4.0,1.0,0.0,0.0,4.0,1
24.0,3617.0,20.0,4.0,2.0,3.0,0.0,4.0,0
12.0,1318.0,54.0,4.0,1.0,2.0,4.0,2.0,0
54.0,15945.0,58.0,3.0,1.0,2.0,1.0,0.0,1
12.0,2012.0,61.0,4.0,1.0,0.0,0.0,4.0,0
18.0,2622.0,34.0,4.0,1.0,2.0,2.0,2.0,0
36.0,2337.0,36.0,4.0,1.0,2.0,1.0,4.0,0
20.0,7057.0,36.0,3.0,2.0,2.0,0.0,3.0,0
24.0,1469.0,41.0,4.0,1.0,0.0,2.0,2.0,0
36.0,2323.0,24.0,4.0,1.0,2.0,1.0,2.0,0
6.0,932.0,24.0,3.0,1.0,0.0,1.0,3.0,0
9.0,1919.0,35.0,4.0,1.0,2.0,1.0,4.0,0
12.0,2445.0,26.0,2.0,1.0,0.0,0.0,2.0,0
24.0,11938.0,39.0,2.0,2.0,2.0,1.0,4.0,1
18.0,6458.0,39.0,2.0,2.0,0.0,1.0,1.0,1
12.0,6078.0,32.0,2.0,1.0,2.0,1.0,2.0,0
24.0,7721.0,30.0,1.0,1.0,1.0,0.0,2.0,0
14.0,1410.0,35.0,1.0,1.0,2.0,3.0,2.0,0
6.0,1449.0,31.0,1.0,2.0,2.0,2.0,3.0,0
15.0,392.0,23.0,4.0,1.0,3.0,1.0,2.0,0
18.0,6260.0,28.0,3.0,1.0,2.0,1.0,2.0,0
36.0,7855.0,25.0,4.0,2.0,0.0,1.0,4.0,1
12.0,1680.0,35.0,3.0,1.0,1.0,3.0,2.0,0
48.0,3578.0,47.0,4.0,1.0,0.0,0.0,4.0,0
42.0,7174.0,30.0,4.0,1.0,1.0,0.0,2.0,1
10.0,2132.0,27.0,2.0,2.0,1.0,0.0,4.0,0
33.0,4281.0,23.0,1.0,2.0,1.0,3.0,4.0,1
12.0,2366.0,36.0,3.0,1.0,2.0,3.0,4.0,0
21.0,1835.0,25.0,3.0,2.0,1.0,1.0,2.0,1
24.0,3868.0,41.0,4.0,2.0,0.0,1.0,4.0,0
12.0,1768.0,24.0,3.0,1.0,0.0,1.0,2.0,0
10.0,781.0,63.0,4.0,2.0,3.0,1.0,4.0,0
18.0,1924.0,27.0,4.0,1.0,2.0,0.0,2.0,1
12.0,2121.0,30.0,4.0,2.0,1.0,1.0,4.0,0
12.0,701.0,40.0,4.0,1.0,1.0,1.0,2.0,0
12.0,639.0,30.0,4.0,1.0,2.0,1.0,2.0,1
12.0,1860.0,34.0,4.0,2.0,2.0,1.0,4.0,0
12.0,3499.0,29.0,3.0,2.0,1.0,1.0,4.0,1
48.0,8487.0,24.0,1.0,1.0,2.0,0.0,2.0,0
36.0,6887.0,29.0,4.0,1.0,1.0,1.0,3.0,1
15.0,2708.0,27.0,2.0,2.0,0.0,1.0,2.0,0
18.0,1984.0,47.0,4.0,2.0,0.0,1.0,2.0,0
60.0,10144.0,21.0,2.0,1.0,0.0,2.0,2.0,0
12.0,1240.0,38.0,4.0,2.0,0.0,0.0,4.0,0
27.0,8613.0,27.0,2.0,2.0,0.0,4.0,3.0,0
12.0,766.0,66.0,4.0,1.0,2.0,3.0,2.0,1
15.0,2728.0,35.0,4.0,3.0,2.0,0.0,4.0,0
12.0,1881.0,44.0,2.0,1.0,3.0,1.0,2.0,0
6.0,709.0,27.0,2.0,1.0,3.0,4.0,2.0,0
36.0,4795.0,30.0,4.0,1.0,2.0,1.0,2.0,0
27.0,3416.0,27.0,3.0,1.0,1.0,1.0,2.0,0
18.0,2462.0,22.0,2.0,1.0,1.0,1.0,2.0,1
21.0,2288.0,23.0,4.0,1.0,0.0,1.0,4.0,0
48.0,3566.0,30.0,4.0,1.0,2.0,2.0,1.0,0
6.0,860.0,39.0,1.0,2.0,1.0,1.0,4.0,0
12.0,682.0,51.0,4.0,2.0,0.0,2.0,4.0,0
36.0,5371.0,28.0,3.0,2.0,1.0,1.0,4.0,0
18.0,1582.0,46.0,4.0,2.0,0.0,4.0,4.0,0
6.0,1346.0,42.0,2.0,1.0,0.0,2.0,2.0,0
10.0,1924.0,38.0,1.0,1.0,0.0,1.0,2.0,0
36.0,5848.0,24.0,4.0,1.0,3.0,1.0,2.0,0
24.0,7758.0,29.0,2.0,1.0,2.0,4.0,4.0,0
24.0,6967.0,36.0,4.0,1.0,2.0,2.0,3.0,0
12.0,1282.0,20.0,2.0,1.0,1.0,1.0,2.0,1
9.0,1288.0,48.0,3.0,2.0,1.0,2.0,4.0,0
12.0,339.0,45.0,4.0,1.0,1.0,1.0,1.0,0
24.0,3512.0,38.0,2.0,2.0,2.0,2.0,2.0,0
6.0,1898.0,34.0,1.0,2.0,0.0,0.0,4.0,0
24.0,2872.0,36.0,3.0,1.0,0.0,2.0,4.0,0
18.0,1055.0,30.0,4.0,2.0,0.0,1.0,4.0,0
15.0,1262.0,36.0,4.0,2.0,0.0,3.0,2.0,0
10.0,7308.0,70.0,2.0,1.0,2.0,1.0,2.0,0
36.0,909.0,36.0,4.0,1.0,0.0,3.0,2.0,0
6.0,2978.0,32.0,1.0,1.0,0.0,3.0,2.0,0
18.0,1131.0,33.0,4.0,1.0,1.0,1.0,2.0,1
11.0,1577.0,20.0,4.0,1.0,2.0,4.0,2.0,0
24.0,3972.0,25.0,2.0,1.0,0.0,1.0,2.0,0
24.0,1935.0,31.0,4.0,2.0,2.0,1.0,4.0,1
15.0,950.0,33.0,4.0,2.0,1.0,1.0,0.0,1
12.0,763.0,26.0,4.0,1.0,0.0,1.0,2.0,0
24.0,2064.0,34.0,3.0,1.0,2.0,1.0,3.0,1
8.0,1414.0,33.0,4.0,1.0,2.0,1.0,2.0,0
21.0,3414.0,26.0,2.0,2.0,1.0,1.0,3.0,1
30.0,7485.0,53.0,4.0,1.0,0.0,0.0,1.0,1
12.0,2577.0,42.0,2.0,1.0,1.0,1.0,2.0,0
6.0,338.0,52.0,4.0,2.0,1.0,3.0,4.0,0
12.0,1963.0,31.0,4.0,2.0,0.0,1.0,2.0,0
21.0,571.0,65.0,4.0,2.0,1.0,1.0,4.0,0
36.0,9572.0,28.0,1.0,2.0,0.0,1.0,3.0,1
36.0,4455.0,30.0,2.0,2.0,2.0,1.0,3.0,1
21.0,1647.0,40.0,4.0,2.0,1.0,0.0,1.0,1
24.0,3777.0,50.0,4.0,1.0,0.0,4.0,4.0,0
18.0,884.0,36.0,4.0,1.0,2.0,1.0,4.0,1
15.0,1360.0,31.0,4.0,2.0,0.0,1.0,4.0,0
9.0,5129.0,74.0,2.0,1.0,2.0,1.0,1.0,1
16.0,1175.0,68.0,2.0,3.0,2.0,1.0,4.0,0
12.0,674.0,20.0,4.0,1.0,1.0,2.0,2.0,1
18.0,3244.0,33.0,1.0,2.0,2.0,1.0,0.0,0
24.0,4591.0,54.0,2.0,3.0,0.0,4.0,2.0,1
48.0,3844.0,34.0,4.0,1.0,2.0,2.0,0.0,1
27.0,3915.0,36.0,4.0,1.0,2.0,1.0,2.0,1
6.0,2108.0,29.0,2.0,1.0,0.0,1.0,2.0,0
45.0,3031.0,21.0,4.0,1.0,2.0,2.0,2.0,1
9.0,1501.0,34.0,2.0,2.0,2.0,1.0,4.0,1
6.0,1382.0,28.0,1.0,2.0,0.0,1.0,4.0,0
12.0,951.0,27.0,4.0,4.0,2.0,2.0,2.0,1
24.0,2760.0,36.0,4.0,1.0,2.0,0.0,2.0,0
18.0,4297.0,40.0,4.0,1.0,2.0,1.0,3.0,1
9.0,936.0,52.0,4.0,2.0,0.0,3.0,4.0,0
12.0,1168.0,27.0,4.0,1.0,1.0,1.0,2.0,0
27.0,5117.0,26.0,3.0,2.0,0.0,1.0,3.0,0
12.0,902.0,21.0,4.0,1.0,1.0,1.0,2.0,1
12.0,1495.0,38.0,4.0,2.0,0.0,1.0,4.0,0
30.0,10623.0,38.0,3.0,3.0,1.0,1.0,4.0,0
12.0,1935.0,43.0,4.0,3.0,0.0,1.0,4.0,0
12.0,1424.0,26.0,4.0,1.0,2.0,1.0,4.0,0
24.0,6568.0,21.0,2.0,1.0,1.0,1.0,2.0,0
12.0,1413.0,55.0,3.0,1.0,0.0,4.0,2.0,0
9.0,3074.0,33.0,1.0,2.0,0.0,0.0,4.0,0
36.0,3835.0,45.0,2.0,1.0,0.0,0.0,2.0,0
27.0,5293.0,50.0,2.0,2.0,1.0,1.0,0.0,1
30.0,1908.0,66.0,4.0,1.0,3.0,1.0,3.0,1
36.0,3342.0,51.0,4.0,1.0,0.0,0.0,4.0,0
6.0,932.0,39.0,1.0,2.0,2.0,0.0,4.0,0
18.0,3104.0,31.0,3.0,1.0,1.0,1.0,0.0,0
36.0,3913.0,23.0,2.0,1.0,3.0,1.0,2.0,0
24.0,3021.0,24.0,2.0,1.0,1.0,1.0,2.0,0
10.0,1364.0,64.0,2.0,1.0,0.0,1.0,2.0,0
12.0,625.0,26.0,4.0,1.0,2.0,1.0,2.0,0
12.0,1200.0,23.0,4.0,1.0,1.0,0.0,2.0,0
12.0,707.0,30.0,4.0,2.0,0.0,1.0,2.0,0
24.0,2978.0,32.0,4.0,2.0,0.0,0.0,3.0,0
15.0,4657.0,30.0,3.0,1.0,0.0,1.0,2.0,0
36.0,2613.0,27.0,4.0,2.0,0.0,1.0,0.0,0
48.0,10961.0,27.0,1.0,2.0,2.0,4.0,2.0,1
12.0,7865.0,53.0,4.0,1.0,1.0,1.0,2.0,1
9.0,1478.0,22.0,4.0,1.0,0.0,1.0,2.0,1
24.0,3149.0,22.0,4.0,1.0,1.0,1.0,2.0,0
36.0,4210.0,26.0,4.0,1.0,3.0,1.0,2.0,1
9.0,2507.0,51.0,2.0,1.0,0.0,3.0,2.0,0
12.0,2141.0,35.0,3.0,1.0,0.0,2.0,2.0,0
18.0,866.0,25.0,4.0,1.0,2.0,1.0,2.0,0
4.0,1544.0,42.0,2.0,3.0,0.0,1.0,4.0,0
24.0,1823.0,30.0,4.0,1.0,1.0,1.0,2.0,1
6.0,14555.0,23.0,1.0,1.0,2.0,0.0,2.0,1
21.0,2767.0,61.0,4.0,2.0,2.0,2.0,2.0,1
12.0,1291.0,35.0,4.0,2.0,0.0,1.0,4.0,0
30.0,2522.0,39.0,1.0,1.0,1.0,1.0,2.0,0
24.0,915.0,29.0,4.0,1.0,1.0,0.0,2.0,1
6.0,1595.0,51.0,3.0,1.0,0.0,1.0,2.0,0
48.0,4605.0,24.0,3.0,2.0,1.0,1.0,0.0,1
12.0,1185.0,27.0,3.0,2.0,0.0,1.0,4.0,0
12.0,3447.0,35.0,4.0,1.0,0.0,3.0,1.0,0
24.0,1258.0,25.0,4.0,1.0,0.0,1.0,2.0,0
12.0,717.0,52.0,4.0,3.0,0.0,1.0,4.0,0
6.0,1204.0,35.0,4.0,1.0,0.0,2.0,0.0,0
24.0,1925.0,26.0,2.0,1.0,3.0,1.0,2.0,0
18.0,433.0,22.0,3.0,1.0,0.0,1.0,2.0,1
6.0,666.0,39.0,3.0,2.0,1.0,4.0,4.0,0
12.0,2251.0,46.0,1.0,1.0,3.0,1.0,2.0,0
30.0,2150.0,24.0,4.0,1.0,2.0,1.0,2.0,1
24.0,4151.0,35.0,2.0,2.0,0.0,2.0,3.0,0
9.0,2030.0,24.0,2.0,1.0,2.0,0.0,2.0,0
60.0,7418.0,27.0,1.0,1.0,2.0,0.0,3.0,0
24.0,2684.0,35.0,4.0,2.0,0.0,1.0,4.0,0
12.0,2149.0,29.0,4.0,1.0,1.0,1.0,1.0,1
15.0,3812.0,23.0,1.0,1.0,0.0,2.0,2.0,0
11.0,1154.0,57.0,4.0,3.0,0.0,2.0,4.0,0
12.0,1657.0,27.0,2.0,1.0,1.0,1.0,2.0,0
24.0,1603.0,55.0,4.0,1.0,1.0,1.0,2.0,0
18.0,5302.0,36.0,2.0,3.0,1.0,1.0,4.0,0
12.0,2748.0,57.0,2.0,3.0,0.0,1.0,4.0,0
10.0,1231.0,32.0,3.0,2.0,0.0,1.0,4.0,0
15.0,802.0,37.0,4.0,1.0,2.0,1.0,2.0,1
36.0,6304.0,36.0,4.0,2.0,0.0,0.0,4.0,0
24.0,1533.0,38.0,4.0,1.0,0.0,1.0,2.0,0
14.0,8978.0,45.0,1.0,1.0,1.0,1.0,2.0,1
24.0,999.0,25.0,4.0,2.0,0.0,0.0,2.0,0
18.0,2662.0,32.0,4.0,1.0,0.0,0.0,2.0,0
12.0,1402.0,37.0,3.0,1.0,0.0,3.0,4.0,0
48.0,12169.0,36.0,4.0,1.0,2.0,0.0,1.0,0
48.0,3060.0,28.0,4.0,2.0,2.0,1.0,2.0,1
30.0,11998.0,34.0,1.0,1.0,1.0,1.0,2.0,1
9.0,2697.0,32.0,1.0,1.0,0.0,1.0,2.0,0
18.0,2404.0,26.0,2.0,2.0,0.0,1.0,4.0,0
12.0,1262.0,49.0,2.0,1.0,1.0,0.0,2.0,0
6.0,4611.0,32.0,1.0,1.0,0.0,1.0,2.0,1
24.0,1901.0,29.0,4.0,1.0,0.0,2.0,2.0,0
15.0,3368.0,23.0,3.0,2.0,0.0,4.0,4.0,0
12.0,1574.0,50.0,4.0,1.0,0.0,1.0,2.0,0
18.0,1445.0,49.0,4.0,1.0,3.0,0.0,1.0,0
15.0,1520.0,63.0,4.0,1.0,0.0,0.0,4.0,0
24.0,3878.0,37.0,4.0,1.0,2.0,2.0,4.0,0
47.0,10722.0,35.0,1.0,1.0,1.0,1.0,2.0,0
48.0,4788.0,26.0,4.0,1.0,1.0,1.0,2.0,0
48.0,7582.0,31.0,2.0,1.0,2.0,2.0,3.0,0
12.0,1092.0,49.0,4.0,2.0,2.0,1.0,2.0,0
24.0,1024.0,48.0,4.0,1.0,1.0,1.0,3.0,1
12.0,1076.0,26.0,2.0,1.0,0.0,1.0,2.0,0
36.0,9398.0,28.0,1.0,1.0,2.0,1.0,2.0,1
24.0,6419.0,44.0,2.0,2.0,1.0,1.0,4.0,0
42.0,4796.0,56.0,4.0,1.0,3.0,1.0,4.0,0
48.0,7629.0,46.0,4.0,2.0,0.0,0.0,4.0,0
48.0,9960.0,26.0,1.0,1.0,2.0,1.0,2.0,1
12.0,4675.0,20.0,1.0,1.0,0.0,0.0,2.0,0
10.0,1287.0,45.0,4.0,1.0,0.0,0.0,2.0,0
18.0,2515.0,43.0,3.0,1.0,0.0,1.0,2.0,0
21.0,2745.0,32.0,3.0,2.0,2.0,4.0,4.0,0
6.0,672.0,54.0,1.0,1.0,0.0,1.0,2.0,0
36.0,3804.0,42.0,4.0,1.0,2.0,1.0,0.0,1
24.0,1344.0,37.0,4.0,2.0,3.0,0.0,4.0,1
10.0,1038.0,49.0,4.0,2.0,1.0,1.0,4.0,0
48.0,10127.0,44.0,2.0,1.0,0.0,3.0,4.0,1
6.0,1543.0,33.0,4.0,1.0,0.0,4.0,2.0,0
30.0,4811.0,24.0,2.0,1.0,0.0,0.0,2.0,0
12.0,727.0,33.0,4.0,1.0,1.0,2.0,2.0,1
8.0,1237.0,24.0,3.0,1.0,2.0,1.0,2.0,1
9.0,276.0,22.0,4.0,1.0,2.0,1.0,2.0,0
48.0,5381.0,40.0,3.0,1.0,2.0,0.0,2.0,0
24.0,5511.0,25.0,4.0,1.0,0.0,2.0,2.0,0
24.0,3749.0,26.0,2.0,1.0,3.0,1.0,2.0,0
12.0,685.0,25.0,2.0,1.0,2.0,1.0,2.0,1
4.0,1494.0,29.0,1.0,1.0,3.0,0.0,2.0,0
36.0,2746.0,31.0,4.0,1.0,1.0,1.0,1.0,1
12.0,708.0,38.0,2.0,1.0,1.0,1.0,2.0,0
24.0,4351.0,48.0,1.0,1.0,2.0,0.0,2.0,0
12.0,701.0,32.0,4.0,2.0,0.0,1.0,4.0,0
15.0,3643.0,27.0,1.0,2.0,1.0,1.0,3.0,0
30.0,4249.0,28.0,4.0,2.0,2.0,1.0,4.0,1
24.0,1938.0,32.0,4.0,1.0,1.0,1.0,2.0,1
24.0,2910.0,34.0,2.0,1.0,1.0,1.0,2.0,0
18.0,2659.0,28.0,4.0,1.0,1.0,4.0,2.0,0
18.0,1028.0,36.0,4.0,2.0,0.0,1.0,4.0,0
8.0,3398.0,39.0,1.0,2.0,1.0,1.0,4.0,0
12.0,5801.0,49.0,2.0,1.0,0.0,0.0,4.0,0
24.0,1525.0,34.0,4.0,1.0,0.0,4.0,2.0,0
36.0,4473.0,31.0,4.0,1.0,3.0,1.0,2.0,0
6.0,1068.0,28.0,4.0,1.0,2.0,1.0,2.0,0
24.0,6615.0,75.0,2.0,2.0,1.0,1.0,4.0,0
18.0,1864.0,30.0,4.0,2.0,0.0,2.0,4.0,1
60.0,7408.0,24.0,4.0,1.0,2.0,2.0,2.0,1
48.0,11590.0,24.0,2.0,2.0,0.0,2.0,4.0,1
24.0,4110.0,23.0,3.0,2.0,1.0,1.0,0.0,1
6.0,3384.0,44.0,1.0,1.0,1.0,1.0,4.0,1
13.0,2101.0,23.0,2.0,1.0,2.0,1.0,2.0,0
15.0,1275.0,24.0,4.0,1.0,1.0,0.0,2.0,1
24.0,4169.0,28.0,4.0,1.0,1.0,1.0,2.0,0
10.0,1521.0,31.0,4.0,1.0,2.0,1.0,2.0,0
24.0,5743.0,24.0,2.0,2.0,2.0,1.0,4.0,0
21.0,3599.0,26.0,1.0,1.0,1.0,1.0,2.0,0
18.0,3213.0,25.0,1.0,1.0,2.0,3.0,2.0,0
18.0,4439.0,33.0,1.0,1.0,2.0,1.0,2.0,0
10.0,3949.0,37.0,1.0,1.0,3.0,1.0,2.0,0
15.0,1459.0,43.0,4.0,1.0,0.0,1.0,4.0,0
13.0,882.0,23.0,4.0,2.0,2.0,1.0,4.0,0
24.0,3758.0,23.0,1.0,1.0,2.0,3.0,2.0,0
6.0,1743.0,34.0,1.0,2.0,0.0,2.0,3.0,0
9.0,1136.0,32.0,4.0,2.0,2.0,4.0,4.0,1
9.0,1236.0,23.0,1.0,1.0,0.0,1.0,2.0,0
9.0,959.0,29.0,1.0,1.0,2.0,1.0,2.0,1
18.0,3229.0,38.0,2.0,1.0,0.0,0.0,4.0,0
12.0,6199.0,28.0,4.0,2.0,1.0,1.0,0.0,1
10.0,727.0,46.0,4.0,1.0,0.0,3.0,2.0,0
24.0,1246.0,23.0,4.0,1.0,2.0,1.0,2.0,1
12.0,2331.0,49.0,1.0,1.0,0.0,0.0,4.0,0
36.0,4463.0,26.0,4.0,2.0,0.0,1.0,3.0,1
12.0,776.0,28.0,4.0,1.0,0.0,1.0,2.0,0
30.0,2406.0,23.0,4.0,1.0,1.0,1.0,2.0,1
18.0,1239.0,61.0,4.0,1.0,2.0,0.0,2.0,0
12.0,3399.0,37.0,2.0,1.0,3.0,0.0,2.0,0
12.0,2247.0,36.0,2.0,2.0,3.0,1.0,3.0,0
6.0,1766.0,21.0,1.0,1.0,0.0,1.0,2.0,0
18.0,2473.0,25.0,4.0,1.0,1.0,1.0,2.0,1
12.0,1542.0,36.0,2.0,1.0,0.0,1.0,2.0,0
18.0,3850.0,27.0,3.0,2.0,0.0,1.0,4.0,0
18.0,3650.0,22.0,1.0,1.0,1.0,1.0,2.0,0
36.0,3446.0,42.0,4.0,1.0,1.0,1.0,2.0,1
18.0,3001.0,40.0,2.0,1.0,2.0,1.0,2.0,0
36.0,3079.0,36.0,4.0,1.0,0.0,0.0,2.0,0
18.0,6070.0,33.0,3.0,2.0,0.0,1.0,4.0,0
10.0,2146.0,23.0,1.0,2.0,0.0,1.0,4.0,0
60.0,13756.0,63.0,2.0,1.0,0.0,0.0,4.0,0
60.0,14782.0,60.0,3.0,2.0,2.0,2.0,1.0,1
48.0,7685.0,37.0,2.0,1.0,1.0,1.0,1.0,1
18.0,2320.0,34.0,2.0,2.0,0.0,1.0,3.0,0
7.0,846.0,36.0,3.0,1.0,0.0,0.0,3.0,0
36.0,14318.0,57.0,4.0,1.0,2.0,1.0,2.0,1
6.0,362.0,52.0,4.0,2.0,0.0,2.0,4.0,0
20.0,2212.0,39.0,4.0,1.0,1.0,0.0,2.0,0
18.0,12976.0,38.0,3.0,1.0,2.0,1.0,2.0,1
22.0,1283.0,25.0,4.0,1.0,0.0,0.0,2.0,0
12.0,1330.0,26.0,4.0,1.0,3.0,1.0,2.0,0
30.0,4272.0,26.0,2.0,2.0,0.0,2.0,3.0,0
18.0,2238.0,25.0,2.0,2.0,0.0,1.0,4.0,0
18.0,1126.0,21.0,4.0,1.0,0.0,0.0,2.0,0
18.0,7374.0,40.0,4.0,2.0,2.0,1.0,4.0,0
15.0,2326.0,27.0,2.0,1.0,2.0,3.0,4.0,0
9.0,1449.0,27.0,3.0,2.0,0.0,1.0,2.0,0
18.0,1820.0,30.0,2.0,1.0,0.0,1.0,2.0,0
12.0,983.0,19.0,1.0,1.0,2.0,4.0,2.0,0
36.0,3249.0,39.0,2.0,1.0,1.0,1.0,2.0,0
6.0,1957.0,31.0,1.0,1.0,1.0,1.0,4.0,0
9.0,2406.0,31.0,2.0,1.0,0.0,1.0,4.0,0
39.0,11760.0,32.0,2.0,1.0,2.0,2.0,3.0,0
12.0,2578.0,55.0,3.0,1.0,1.0,1.0,2.0,0
